DATE,TVEXPUKA
1922-01-01,31546
1923-01-01,34619
1924-01-01,35786
1925-01-01,35553
1926-01-01,32674
1927-01-01,36797
1928-01-01,37031
1929-01-01,38275
1930-01-01,32908
1931-01-01,26528
1932-01-01,25945
1933-01-01,26373
1934-01-01,27384
1935-01-01,30885
1936-01-01,30029
1937-01-01,31546
1938-01-01,29407
1939-01-01,27306
1940-01-01,18515
1941-01-01,15909
1942-01-01,14392
1943-01-01,15870
1944-01-01,20071
1945-01-01,16415
1946-01-01,27579
1947-01-01,27617
1948-01-01,33647
1949-01-01,37332
1950-01-01,42641
1951-01-01,42213
1952-01-01,41366
1953-01-01,43098
1954-01-01,45524
1955-01-01,48665
1956-01-01,50907
1957-01-01,52247
1958-01-01,51463
1959-01-01,52877
1960-01-01,55896
1961-01-01,57686
1962-01-01,58669
1963-01-01,61538
1964-01-01,63565
1965-01-01,66338
1966-01-01,69779
1967-01-01,70157
1968-01-01,78768
1969-01-01,86478
1970-01-01,91071
1971-01-01,97592
1972-01-01,98855
1973-01-01,111241
1974-01-01,119667
1975-01-01,116461
1976-01-01,127193
1977-01-01,135904
1978-01-01,138450
1979-01-01,143660
1980-01-01,143304
1981-01-01,142559
1982-01-01,144249
1983-01-01,147173
1984-01-01,157232
1985-01-01,166397
1986-01-01,173338
1987-01-01,184543
1988-01-01,186710
1989-01-01,196093
1990-01-01,207133
1991-01-01,207682
1992-01-01,216556
1993-01-01,226286
1994-01-01,247265
1995-01-01,270744
1996-01-01,290776
1997-01-01,313626
1998-01-01,323973
1999-01-01,330714
2000-01-01,361425
2001-01-01,363181
2002-01-01,365913
2003-01-01,385720
2004-01-01,407921
2005-01-01,430378
2006-01-01,471697
2007-01-01,489880
2008-01-01,495451
2009-01-01,452338
2010-01-01,478555
2011-01-01,506505
2012-01-01,509954
2013-01-01,515827
2014-01-01,524340
2015-01-01,556220
2016-01-01,566242
